month,claim_type,payer_category,claim_count,allowed_amount,paid_amount,avg_paid_amount
2025-10,Ambulatory Surgery,Other,2,32817.62,24544.82,12272.41
2025-10,Emergency Department,Commercial,26,197373.1,148866.73,5725.64
2025-10,Emergency Department,Medicaid,16,124669.02,94719.0,5919.94
2025-10,Emergency Department,Medicare,10,82866.79,62271.83,6227.18
2025-10,Emergency Department,Other,3,24809.48,19030.65,6343.55
2025-10,Emergency Department,Self Pay,3,18799.37,14223.25,4741.08
2025-10,Inpatient,Commercial,23,642763.38,494494.41,21499.76
2025-10,Inpatient,Medicaid,14,441174.04,348632.25,24902.3
2025-10,Inpatient,Medicare,31,977877.49,765427.38,24691.21
2025-10,Inpatient,Other,5,150322.71,113765.08,22753.02
2025-10,Inpatient,Self Pay,4,168823.5,130966.95,32741.74
2025-10,Outpatient,Commercial,17,57181.71,46028.51,2707.56
2025-10,Outpatient,Medicaid,8,28806.96,23682.23,2960.28
2025-10,Outpatient,Medicare,7,28273.25,23432.3,3347.47
2025-10,Outpatient,Other,1,3792.66,2361.66,2361.66
2025-10,Outpatient,Self Pay,3,10183.72,7434.34,2478.11
2025-11,Ambulatory Surgery,Commercial,8,132240.02,95116.96,11889.62
2025-11,Ambulatory Surgery,Medicaid,9,136553.13,103671.63,11519.07
2025-11,Ambulatory Surgery,Medicare,4,82643.75,66317.91,16579.48
2025-11,Ambulatory Surgery,Self Pay,1,5804.08,3816.98,3816.98
2025-11,Emergency Department,Commercial,18,120764.65,92332.81,5129.6
2025-11,Emergency Department,Medicaid,12,80494.02,65910.24,5492.52
2025-11,Emergency Department,Medicare,14,105911.32,84698.19,6049.87
2025-11,Emergency Department,Other,1,4059.38,3142.97,3142.97
2025-11,Emergency Department,Self Pay,3,15442.91,10635.46,3545.15
2025-11,Inpatient,Commercial,26,854752.11,675123.05,25966.27
2025-11,Inpatient,Medicaid,22,704473.4,540390.81,24563.22
2025-11,Inpatient,Medicare,27,739449.13,562906.09,20848.37
2025-11,Inpatient,Other,11,338666.66,273357.22,24850.66
2025-11,Inpatient,Self Pay,7,200153.74,148579.65,21225.66
2025-11,Outpatient,Commercial,17,69371.18,51661.96,3038.94
2025-11,Outpatient,Medicaid,10,37131.1,27252.43,2725.24
2025-11,Outpatient,Medicare,16,68172.62,56505.28,3531.58
2025-11,Outpatient,Other,1,5108.46,3211.91,3211.91
2025-11,Outpatient,Self Pay,4,12134.0,10585.22,2646.3
2025-12,Ambulatory Surgery,Commercial,5,93945.98,76185.69,15237.14
2025-12,Ambulatory Surgery,Medicaid,5,64808.41,47688.42,9537.68
2025-12,Ambulatory Surgery,Medicare,5,89886.95,66881.77,13376.35
2025-12,Ambulatory Surgery,Other,1,12825.34,11087.3,11087.3
2025-12,Emergency Department,Commercial,22,141716.24,101399.19,4609.05
2025-12,Emergency Department,Medicaid,3,13885.41,11277.62,3759.21
2025-12,Emergency Department,Medicare,11,72933.14,56694.89,5154.08
2025-12,Emergency Department,Other,6,39714.73,28526.08,4754.35
2025-12,Emergency Department,Self Pay,4,29998.44,22272.95,5568.24
2025-12,Inpatient,Commercial,42,1374433.04,1057952.19,25189.34
2025-12,Inpatient,Medicaid,32,1114513.56,876761.68,27398.8
2025-12,Inpatient,Medicare,30,958249.39,742619.36,24753.98
2025-12,Inpatient,Other,8,309966.94,235240.09,29405.01
2025-12,Inpatient,Self Pay,8,200228.91,159605.18,19950.65
2025-12,Outpatient,Commercial,14,48717.27,38629.47,2759.25
2025-12,Outpatient,Medicaid,13,51218.01,38565.88,2966.61
2025-12,Outpatient,Medicare,18,71310.56,55371.07,3076.17
2025-12,Outpatient,Other,5,22399.28,17980.8,3596.16
2025-12,Outpatient,Self Pay,2,8165.37,5979.8,2989.9
